Pseudocode	Is-a-Prerequisite-of	Algorithm implementation
value	Is-a-Prerequisite-of	FindNode
value	Is-a-Prerequisite-of	FindParent
algorithm	Is-a-Prerequisite-of	data structures
AVL tree	Is-a-Prerequisite-of	logarithmic time complexity
AVL tree	Is-a-Prerequisite-of	logarithmic time complexity
AVL tree	Is-a-Prerequisite-of	logarithmic time complexity
AVL tree	Is-a-Prerequisite-of	logarithmic time
AVL tree	Is-a-Prerequisite-of	logarithmic time complexity
type check	Is-a-Prerequisite-of	custom type checks
type check	Is-a-Prerequisite-of	custom type checks
type check	Is-a-Prerequisite-of	custom type checks
type check	Is-a-Prerequisite-of	custom type checks
algorithm implementation	Is-a-Prerequisite-of	vast majority case satisfied
algorithm	Is-a-Prerequisite-of	implementing
algorithm implementation	Is-a-Prerequisite-of	vast majority case satisfied
algorithm implementation	Is-a-Prerequisite-of	vast majority case satisfied
factorial algorithm	Is-a-Prerequisite-of	recursive implementations
factorial algorithm	Is-a-Prerequisite-of	recursive implementations
factorial algorithm	Is-a-Prerequisite-of	recursive implementations
factorial algorithm	Is-a-Prerequisite-of	recursive implementations
factorial algorithm	Is-a-Prerequisite-of	recursive implementations
parent node	Is-a-Prerequisite-of	min heap
parent node	Is-a-Prerequisite-of	max heap
index	Is-a-Prerequisite-of	FindParent
index	Is-a-Prerequisite-of	FindParent
min heap	Is-a-Prerequisite-of	parent index
max heap	Is-a-Prerequisite-of	parent index
min heap	Is-a-Prerequisite-of	parent node value comparison
AVL tree	Is-a-Prerequisite-of	Ordered set
AVL tree	Is-a-Prerequisite-of	Ordered set
AVL tree	Is-a-Prerequisite-of	ordered set
AVL tree	Is-a-Prerequisite-of	Tree Rotation
Big Oh notation	Is-a-Prerequisite-of	Algorithm runtime complexity analysis
Algorithm	Is-a-Prerequisite-of	Software Development
Binary Search Tree	Is-a-Prerequisite-of	Data Structure
Binary Search Tree	Is-a-Prerequisite-of	AVL Tree
Binary Search Tree	Is-a-Prerequisite-of	AVL Tree
Binary Search Tree	Is-a-Prerequisite-of	AVL Tree
Binary Search Tree	Is-a-Prerequisite-of	Data Structure
value	Is-a-Prerequisite-of	true
value	Is-a-Prerequisite-of	false
yield	Is-a-Prerequisite-of	Post
yield	Is-a-Prerequisite-of	Post
yield	Is-a-Prerequisite-of	return
Recursive algorithm	Is-a-Prerequisite-of	Algorithm
Recursive algorithm	Is-a-Prerequisite-of	Algorithm
Recursive algorithm	Is-a-Prerequisite-of	Algorithm
Recursive algorithm	Is-a-Prerequisite-of	Algorithm
Recursive algorithm	Is-a-Prerequisite-of	Algorithm
Recursive algorithm	Is-a-Prerequisite-of	Appendix C
Recursive algorithm	Is-a-Prerequisite-of	Appendix C
Recursive algorithm	Is-a-Prerequisite-of	Algorithm
Recursive algorithm	Is-a-Prerequisite-of	Appendix C
Recursive algorithm	Is-a-Prerequisite-of	Algorithm
unit test	Is-a-Prerequisite-of	software development
unit test	Is-a-Prerequisite-of	software development
TDD	Is-a-Prerequisite-of	unit test
unit test	Is-a-Prerequisite-of	software development
TDD	Is-a-Prerequisite-of	code coverage
unit test	Is-a-Prerequisite-of	software production code
unit test	Is-a-Prerequisite-of	software development
unit test	Is-a-Prerequisite-of	software development
Big Oh notation	Is-a-Prerequisite-of	Algorithm analysis
Big Oh notation	Is-a-Prerequisite-of	Algorithm analysis
algorithm	Is-a-Prerequisite-of	big oh notation
Big Oh notation	Is-a-Prerequisite-of	Algorithm analysis
algorithm	Is-a-Prerequisite-of	big oh notation
Big Oh notation	Is-a-Prerequisite-of	Run time complexity analysis
Big Oh notation	Is-a-Prerequisite-of	Algorithm analysis
Big Oh notation	Is-a-Prerequisite-of	Run time complexity analysis
Big Oh notation	Is-a-Prerequisite-of	Algorithm analysis
BST	Is-a-Prerequisite-of	worst case scenario
priority queue	Is-a-Prerequisite-of	custom comparer
priority queue	Is-a-Prerequisite-of	custom comparer
priority queue	Is-a-Prerequisite-of	heap data structure
priority queue	Is-a-Prerequisite-of	heap data structure
priority queue	Is-a-Prerequisite-of	heap data structure
Add method	Is-a-Prerequisite-of	data structure
Add method	Is-a-Prerequisite-of	data structure
data structure	Is-a-Prerequisite-of	Add method
data structure	Is-a-Prerequisite-of	Add method
AVL tree	Is-a-Prerequisite-of	preserving tree balance
zero pre list mean	Is-a-Prerequisite-of	list processing
zero pre list mean	Is-a-Prerequisite-of	list processing
zero pre list mean	Is-a-Prerequisite-of	list processing
priority queue	Is-a-Prerequisite-of	heap data structure
algorithm	Is-a-Prerequisite-of	binary tree
Remove algorithm	Is-a-Prerequisite-of	Helper algorithms
Data Structures	Is-a-Prerequisite-of	Algorithms
LeftAndRightRotation	Is-a-Prerequisite-of	restoring balance in BST
RightAndLeftRotation	Is-a-Prerequisite-of	restoring balance in BST
LeftAndRightRotation	Is-a-Prerequisite-of	restoring balance
RightAndLeftRotation	Is-a-Prerequisite-of	restoring balance
factorial	Is-a-Prerequisite-of	mathematical operation implementation
AVL tree	Is-a-Prerequisite-of	ordered set
list	Is-a-Prerequisite-of	pre-order traversal
list	Is-a-Prerequisite-of	in-order traversal
list	Is-a-Prerequisite-of	post-order traversal
Enqueue	Is-a-Prerequisite-of	Queue
algorithm described	Is-a-Prerequisite-of	algorithm design
algorithm	Is-a-Prerequisite-of	algorithm design
Preorder	Is-a-Prerequisite-of	Left subtree traversal
Inorder	Is-a-Prerequisite-of	Left subtree traversal
Postorder	Is-a-Prerequisite-of	Left subtree traversal
represent type	Is-a-Prerequisite-of	data structure
algorithm	Is-a-Prerequisite-of	sorting
algorithm	Is-a-Prerequisite-of	string operations
FindNode algorithm	Is-a-Prerequisite-of	preorder algorithm
String algorithm	Is-a-Prerequisite-of	structured approach
root	Is-a-Prerequisite-of	CheckBalance
nodeToRemove.Left	Is-a-Prerequisite-of	nodeToRemove.Right
nodeToRemove.Right	Is-a-Prerequisite-of	nodeToRemove.Left
Deque	Is-a-Prerequisite-of	Algorithm
Big Oh notation	Is-a-Prerequisite-of	Algorithm analysis
Recursive algorithm	Is-a-Prerequisite-of	Stack size
ordered set	Is-a-Prerequisite-of	AVL tree
implementation	Is-a-Prerequisite-of	algorithm
recursive implementation	Is-a-Prerequisite-of	factorial
deque	Is-a-Prerequisite-of	ordered
order	Is-a-Prerequisite-of	deque
algorithm	Is-a-Prerequisite-of	return type
problem	Is-a-Prerequisite-of	algorithm
Big Oh notation	Is-a-Prerequisite-of	Algorithm analysis
number	Is-a-Prerequisite-of	digit
Remove algorithm	Is-a-Prerequisite-of	value
