568|balancing binary search tree
569|word counting
570|search algorithms
571|contiguous memory
572|minimising impact
573|symbols
574|straightforward
575|base 2 representation
576|runtime complexity
577|deleting
578|size
579|algorithm signature
580|backing heap array data
581|maxvalue
582|minheap
583|binary conversion
584|test class definition
585|pre-conditions
586|user experience
587|pre-processing
588|non-recursive algorithm
589|creating a safety blanket
590|implement algorithm
591|minimised test driven development
592|string manipulation
